################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: s267517
#     Report Created on: Thu Jan 13 16:38:48 2022
#     Working Directory: /home/s267517/assignment/riscv/gate/scan/syn/run/_snpDft_s267517.14525.0
#     Report Location  : ./sg_config/riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800/sg_dft_testpoint_analysis/spyglass_reports/dft_dsm/Info_random_resistance/000/Info_random_resistance_001.csv
#     SpyGlass Version : SpyGlass_vR-2020.12
#     Policy Name      : dft_dsm(SpyGlass_vR-2020.12)
#     Comment          : List of suggested test points to reduce random pattern coverage of the design.
#
################################################################################
#CrossProbeTag:DFT_DSM_RRF_TP_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1
##Sheet_Prop: column_width:2@@30%,3@@30%

TagId,"Testpoint Node","Type"
37,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n1965","observe"
38,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n2673","observe"
39,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n1306","observe"
40,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n265","observe"
41,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n989","observe"
42,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n2926","observe"
43,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n84","observe"
44,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n446","observe"
45,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.n2424","control-0"
46,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.decoder_i.n560","control-0"
47,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.n739","control-1"
48,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n1506","observe"
49,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n51","observe"
50,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n248","observe"
51,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.ex_stage_i.alu_i.n3380","control-0"
52,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n2348","observe"
53,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.controller_i.n378","control-1"
54,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.ex_stage_i.alu_i.n2647","control-1"
55,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n2099","observe"
56,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n5307","observe"
57,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.n140","control-1"
58,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.hwloop_cnt_mux_sel","control-1"
59,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.ex_stage_i.alu_i.n2662","control-0"
60,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n4053","observe"
61,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n3095","observe"
62,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n46","observe"
63,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n4555","observe"
64,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n2824","observe"
65,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n3828","observe"
66,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.controller_i.n196","control-1"
67,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n3714","observe"
68,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n4357","observe"
69,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n2543","observe"
70,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n737","observe"
71,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n5141","observe"
72,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n1143","observe"
73,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n2384","observe"
74,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n608","observe"
75,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.csr_addr[9]","control-1"
