################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: s267517
#     Report Created on: Thu Jan 13 16:19:42 2022
#     Working Directory: /home/s267517/assignment/riscv/gate/scan/syn/run/_snpDft_s267517.14525.0
#     Report Location  : ./sg_config/riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800/sg_dft_testpoint_analysis/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : SpyGlass_vR-2020.12
#     Policy Name      : dft(SpyGlass_vR-2020.12)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Bit Count, Scannability, Atspeed Participation, Shift-CP-Root, Capture-CP-Root, Atspeed-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Shift-Sim, Capture-Sim, Atspeed-Sim
14, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_11_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
15, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_12_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
16, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_13_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
17, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_14_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
18, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_15_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
19, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_16_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
20, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_17_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
21, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_18_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
22, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_19_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
23, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_20_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
24, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_21_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
25, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_22_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
26, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_23_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
27, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_24_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
28, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_25_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
29, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_26_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
30, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_27_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
31, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_28_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
32, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_29_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
33, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_30_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
34, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_31_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
35, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__31_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
36, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__30_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
37, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__29_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
38, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__28_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
39, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__27_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
40, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__26_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
41, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__25_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
42, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__24_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
43, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__23_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
44, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__22_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
45, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__21_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
46, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__20_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
47, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__19_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
48, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__18_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
49, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__17_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
50, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__16_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
51, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__15_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
52, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.L0_buffer_reg_3__14_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->tied(0) D->01_cnt(yy-) SE->tied(0), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0, Q->X SI->0 D->X SE->0
